date,pm2.5
1/1/20,2.4
1/4/20,2.9
1/7/20,6.9
1/10/20,5.9
1/13/20,5.9
1/16/20,4
1/19/20,3.8
1/22/20,6.2
1/25/20,2.2
1/28/20,3.5
1/31/20,7.2
2/3/20,3.8
2/6/20,3
2/9/20,5.1
2/12/20,3.9
2/15/20,4.6
2/18/20,9.2
2/21/20,4.1
2/24/20,7.6
2/27/20,1.5
3/1/20,4.7
3/4/20,3
3/7/20,2.7
3/10/20,6
3/13/20,7.1
3/16/20,4.7
3/25/20,1.7
3/28/20,8.5
4/3/20,3.2
4/6/20,8.1
4/9/20,4.9
4/12/20,6.4
4/15/20,4
4/18/20,5
4/21/20,5.1
4/24/20,4.7
4/27/20,3.2
4/30/20,4.1
5/3/20,8.4
5/4/20,3.5
5/6/20,4
5/9/20,3.1
5/12/20,3.6
5/15/20,8.2
5/18/20,3.2
5/21/20,7.8
5/24/20,7.1
5/27/20,3.3
5/30/20,6
6/2/20,7.1
6/5/20,7
6/8/20,8
6/11/20,6.9
6/14/20,5.2
6/17/20,2
6/20/20,9.4
6/23/20,7.7
6/26/20,6.3
6/29/20,8.7
7/2/20,11.1
7/5/20,12.2
7/8/20,8.1
7/11/20,5.6
7/14/20,10.4
7/17/20,8.4
7/20/20,11.7
7/23/20,5.6
7/26/20,9.5
7/29/20,7.2
8/1/20,4.7
8/4/20,5
8/7/20,4.5
8/10/20,10.1
8/13/20,4.6
8/16/20,3.5
8/19/20,7.8
8/22/20,4.9
8/25/20,9.5
8/28/20,11.6
8/31/20,5.2
9/3/20,11.5
9/6/20,7.3
9/9/20,4.1
9/12/20,6.2
9/15/20,3.4
9/18/20,8.2
9/21/20,3.9
9/24/20,9.2
9/27/20,5.7
9/30/20,3.4
10/3/20,4.6
10/6/20,8.2
10/9/20,5.5
10/12/20,0.9
10/15/20,8.3
10/18/20,6
10/21/20,5.8
10/24/20,5.9
10/27/20,5.7
10/30/20,1.5
11/2/20,2
11/5/20,9
11/8/20,13.2
11/11/20,5.3
11/14/20,9.6
11/17/20,2.4
11/20/20,7.9
11/23/20,4.8
11/26/20,5.7
11/29/20,9.8
12/2/20,3.3
12/5/20,4.4
12/8/20,4.3
12/11/20,11.5
12/14/20,4.3
12/17/20,4
12/20/20,10.4
12/23/20,6.1
12/26/20,3.1
12/29/20,5.4
1/4/20,3
1/10/20,6
1/16/20,4.4
1/22/20,6.2
1/28/20,3.5
2/3/20,3.9
2/9/20,5
2/15/20,4.2
2/21/20,4.2
2/27/20,1.5
3/4/20,3.4
3/10/20,6.1
3/16/20,5
3/28/20,8.5
4/3/20,3.3
4/9/20,5.2
4/15/20,4.1
4/21/20,5
4/27/20,3.3
5/3/20,8.5
5/9/20,3.1
5/15/20,8.3
5/21/20,8.1
5/27/20,3.1
6/2/20,7.1
6/8/20,8.3
6/14/20,5.5
6/20/20,9.4
6/26/20,6.7
7/2/20,11
7/8/20,8.1
7/14/20,10.5
7/20/20,11.9
7/21/20,10.7
7/26/20,9.5
8/1/20,5.2
8/7/20,4.7
8/13/20,5
8/19/20,7.7
8/25/20,9.7
8/31/20,5.5
9/6/20,7.8
9/12/20,6.3
9/18/20,8.2
9/24/20,9.5
9/30/20,3.4
10/6/20,8.5
10/12/20,1
10/18/20,5.8
10/24/20,6.1
10/30/20,1.4
11/5/20,9.2
11/11/20,5.1
11/17/20,2.4
11/23/20,4.6
11/29/20,9.5
12/5/20,4.6
12/11/20,11.9
12/17/20,3.8
12/23/20,6.3
12/29/20,5.7
1/1/20,3.7
1/2/20,5.2
1/3/20,7.6
1/4/20,4.3
1/5/20,3.6
1/6/20,5.6
1/7/20,7.9
1/8/20,4.5
1/9/20,5.9
1/10/20,7.1
1/11/20,7.6
1/12/20,4.2
1/13/20,7.2
1/14/20,7.7
1/15/20,7.9
1/16/20,5.9
1/17/20,4.9
1/18/20,6.2
1/19/20,5.1
1/20/20,5.8
1/21/20,5
1/22/20,8.9
1/23/20,12.6
1/24/20,10.5
1/25/20,3.4
1/26/20,3.1
1/27/20,5.9
1/28/20,5
1/29/20,7.3
1/30/20,7.9
1/31/20,9.1
2/1/20,10
2/2/20,4.9
2/3/20,3.9
2/4/20,7.1
2/5/20,8.3
2/6/20,4.9
2/7/20,2.1
2/8/20,4.4
2/9/20,6.8
2/10/20,7.1
2/11/20,7.4
2/12/20,5.6
2/13/20,5.4
2/14/20,4.4
2/15/20,5.8
2/16/20,9.2
2/17/20,9.6
2/18/20,12.9
2/19/20,5.4
2/20/20,7.2
2/21/20,6
2/22/20,8.1
2/23/20,7.7
2/24/20,8.8
