"","time_stamp","sensor_index","rssi","uptime","pa_latency","memory","humidity","temperature","pressure","pm2.5_alt_a","pm2.5_alt_b","pm2.5_atm_a","pm2.5_atm_b","pm2.5_cf_1_a","pm2.5_cf_1_b","date"
"1",1578891600,21109,-70,1840280,"null",19529,64.522,59.6,1021.441,4.7,4.6,8.021,8.698,8.021,8.698,2020-01-13 00:00:00
"2",1578942000,21109,-67,1890660,"null",19446,53.633,65.833,1021.819,7,7.3,11.492,13.152,11.492,13.152,2020-01-13 14:00:00
"3",1578920400,21109,-70,1869060,"null",19367,58.334,59.267,1022.937,1.8,1.8,2.549,2.446,2.549,2.446,2020-01-13 08:00:00
"4",1578873600,21109,-69,1822260,"null",19384,63.8,58.4,1021.674,2.2,2.4,3.383,3.59,3.383,3.59,2020-01-12 19:00:00
"5",1578927600,21109,-67,1876260,"null",19412,54.867,61.6,1023.875,2.7,2.7,4.156,4.077,4.156,4.077,2020-01-13 10:00:00
"6",1578913200,21109,-68,1861860,"null",19357,56.334,60.5,1022.369,1.7,1.8,2.329,2.332,2.329,2.332,2020-01-13 06:00:00
"7",1578880800,21109,-67,1829460,"null",19367,69.767,55.367,1022.046,5.7,5.8,10.414,11.783,10.414,11.783,2020-01-12 21:00:00
"8",1578949200,21109,-68,1897860,"null",19339,56.666,65.267,1021.85,6.3,6.5,10.367,11.842,10.367,11.842,2020-01-13 16:00:00
"9",1578938400,21109,-66,1887060,"null",19408,55.633,64.233,1022.365,7.2,7.3,12.031,13.906,12.031,13.906,2020-01-13 13:00:00
"10",1578884400,21109,-68,1833060,"null",19395,69.334,56,1021.87,8.8,8.8,16.733,18.675,16.733,18.675,2020-01-12 22:00:00
"11",1578924000,21109,-70,1872660,"null",19425,57.433,59.6,1023.759,2.1,2.2,3.159,3.038,3.159,3.038,2020-01-13 09:00:00
"12",1578931200,21109,-67,1879860,"null",19418,55.267,61.334,1023.607,3.4,3.4,5.413,5.712,5.413,5.712,2020-01-13 11:00:00
"13",1578909600,21109,-67,1858260,"null",19430,57.033,60.1,1022.122,1.7,1.8,2.436,2.498,2.436,2.498,2020-01-13 05:00:00
"14",1578898800,21109,-70,1847460,"null",19412,58.967,59.667,1022.051,2.8,2.8,4.456,4.354,4.456,4.354,2020-01-13 02:00:00
"15",1578945600,21109,-67,1894260,"null",19418,54.433,65.5,1021.714,6.4,6.7,10.675,12.24,10.675,12.24,2020-01-13 15:00:00
"16",1578906000,21109,-69,1854660,"null",19305,57.034,60.433,1022.047,2.3,2.3,3.405,3.283,3.405,3.283,2020-01-13 04:00:00
"17",1578902400,21109,-71,1851060,"null",19327,57.333,60.033,1021.816,2.2,2.4,3.4,3.402,3.4,3.402,2020-01-13 03:00:00
"18",1578916800,21109,-70,1865460,"null",19424,56.534,60.367,1022.478,1.7,1.8,2.408,2.341,2.408,2.341,2020-01-13 07:00:00
"19",1578952800,21109,-67,1901460,"null",19390,60.067,63.5,1022.349,6.7,7,11.055,12.889,11.055,12.889,2020-01-13 17:00:00
